event_id,entity_id,event_type,severity,estimated_impact,note
EVT0001,SKU023,Collateral gap,Watch,69121.82,Collateral gap tied to acoustic baffles portfolio decision
EVT0002,SKU023,Ops exception,Watch,80322.92,Ops exception tied to acoustic baffles portfolio decision
EVT0003,SKU023,Quality signal,Medium,24295.22,Quality signal tied to acoustic baffles portfolio decision
EVT0004,SKU023,Collateral gap,Medium,20838.69,Collateral gap tied to acoustic baffles portfolio decision
EVT0005,SKU023,Ops exception,High,22444.08,Ops exception tied to acoustic baffles portfolio decision
EVT0006,SKU023,Ops exception,Medium,36363.88,Ops exception tied to acoustic baffles portfolio decision
EVT0007,SKU023,Quality signal,Medium,30323.2,Quality signal tied to acoustic baffles portfolio decision
EVT0008,SKU023,Collateral gap,Medium,23632.57,Collateral gap tied to acoustic baffles portfolio decision
EVT0009,SKU023,Quality signal,Watch,44725.27,Quality signal tied to acoustic baffles portfolio decision
EVT0010,SKU023,Sales ask,Watch,48059.89,Sales ask tied to acoustic baffles portfolio decision
EVT0011,SKU023,Sales ask,Medium,23373.67,Sales ask tied to acoustic baffles portfolio decision
EVT0012,SKU006,Ops exception,Watch,62240.76,Ops exception tied to suspended linear portfolio decision
EVT0013,SKU006,Ops exception,High,80929.73,Ops exception tied to suspended linear portfolio decision
EVT0014,SKU006,Engineering review,Medium,62912.25,Engineering review tied to suspended linear portfolio decision
EVT0015,SKU006,Collateral gap,High,81149.73,Collateral gap tied to suspended linear portfolio decision
EVT0016,SKU006,Ops exception,Medium,38392.93,Ops exception tied to suspended linear portfolio decision
EVT0017,SKU006,Sales ask,Medium,71364.47,Sales ask tied to suspended linear portfolio decision
EVT0018,SKU006,Quality signal,Medium,65801.79,Quality signal tied to suspended linear portfolio decision
EVT0019,SKU025,Quality signal,Medium,41083.36,Quality signal tied to acoustic baffles portfolio decision
EVT0020,SKU025,Engineering review,Watch,85206.81,Engineering review tied to acoustic baffles portfolio decision
EVT0021,SKU025,Quality signal,High,26873.3,Quality signal tied to acoustic baffles portfolio decision
EVT0022,SKU025,Ops exception,Medium,28476.65,Ops exception tied to acoustic baffles portfolio decision
EVT0023,SKU025,Quality signal,High,46254.84,Quality signal tied to acoustic baffles portfolio decision
